"anio","provincia_nombre","provincia_id","nacimientos","TBN","TGF","TFA"
2015,"Santiago del Estero",86,18799,"20.26","2.48","42.98"
2015,"Tierra del Fuego",94,2952,"19.38","2.35","22.58"
2015,"Tucumán",90,28930,"18.16","2.24","36.24"
2016,"Buenos Aires",6,270186,"16.04","2.11","27.37"
2016,"Catamarca",10,6715,"16.76","2.12","30.78"
2016,"Chaco",22,22695,"19.64","2.32","46.26"
2016,"Chubut",26,9430,"16.33","2.07","23.49"
2016,"Ciudad de Buenos Aires",2,40904,"13.37","1.71","10.54"
2016,"Córdoba",14,56517,"15.67","2.02","25.89"
2016,"Corrientes",18,19686,"18.22","2.22","38.86"
2016,"Entre Ríos",30,22004,"16.49","2.15","32.18"
2016,"Formosa",34,11125,"19.03","2.29","43.69"
2016,"Jujuy",38,11966,"16.25","1.99","30.38"
2016,"La Pampa",42,5108,"14.75",2,"25.26"
2016,"La Rioja",46,5984,"16.05","1.88","27.6"
2016,"Mendoza",50,32188,"16.88","2.18","27.14"
2016,"Misiones",54,24813,"20.61","2.45","43.27"
2016,"Neuquén",58,11268,"17.92","2.27","29.52"
2016,"Río Negro",62,11772,"16.61","2.15","24.84"
2016,"Salta",66,25845,"19.12","2.33","37.29"
2016,"San Juan",70,13826,"18.5","2.39","33.97"
2016,"San Luis",74,7485,"15.5","1.98","26.74"
2016,"Santa Cruz",78,6107,"18.53","2.3","27.34"
2016,"Santa Fe",82,54490,"15.91","2.04","30.61"
2016,"Santiago del Estero",86,18084,"19.28","2.36","38.79"
2016,"Tierra del Fuego",94,2882,"18.41","2.24","20.77"
2016,"Tucumán",90,27476,"17.03","2.1","31.96"
2017,"Buenos Aires",6,261145,"15.34","2.04","24.86"
2017,"Catamarca",10,6428,"15.89","2.02","29.17"
2017,"Chaco",22,23285,"19.93","2.37","43.58"
2017,"Chubut",26,8885,"15.11","1.93","20.47"
2017,"Ciudad de Buenos Aires",2,38916,"12.7","1.63","9.62"
2017,"Córdoba",14,55581,"15.25","1.97","24.18"
2017,"Corrientes",18,19764,"18.12","2.22","38.01"
2017,"Entre Ríos",30,21567,"16.01","2.09","30.09"
2017,"Formosa",34,11333,"19.21","2.33","43.51"
2017,"Jujuy",38,11633,"15.61","1.92","28.34"
2017,"La Pampa",42,5002,"14.32","1.94","23.53"
2017,"La Rioja",46,5825,"15.41","1.81","25.29"
2017,"Mendoza",50,30425,"15.78","2.05","23.83"
2017,"Misiones",54,25405,"20.84","2.5","42.08"
2017,"Neuquén",58,10462,"16.4","2.1","24.28"
2017,"Río Negro",62,11233,"15.63","2.04","21.91"
2017,"Salta",66,25313,"18.47","2.26","36.37"
2017,"San Juan",70,13431,"17.77","2.3","31.89"
2017,"San Luis",74,7248,"14.82","1.89","23.07"
2017,"Santa Cruz",78,5699,"16.83","2.11","23.53"
2017,"Santa Fe",82,52768,"15.28","1.97","27.91"
2017,"Santiago del Estero",86,18306,"19.31","2.36","39.08"
2017,"Tierra del Fuego",94,2665,"16.58","2.03","16.89"
2017,"Tucumán",90,26501,"16.22","2.01","30.02"
2018,"Buenos Aires",6,253423,"14.74","1.97","22.6"
2018,"Catamarca",10,6679,"16.36","2.09","28.97"
2018,"Chaco",22,23496,"19.9","2.39","43.64"
2018,"Chubut",26,8369,"13.99","1.81","16.81"
2018,"Ciudad de Buenos Aires",2,36548,"11.91","1.53","7.49"
2018,"Córdoba",14,53761,"14.59","1.9","22.27"
2018,"Corrientes",18,19835,"18.01","2.21","37.64"
2018,"Entre Ríos",30,20870,"15.34","2.02","27.97"
2018,"Formosa",34,11468,"19.27","2.34","44.52"
2018,"Jujuy",38,11698,"15.52","1.92","26.16"
2018,"La Pampa",42,4791,"13.6","1.84","20.32"
2018,"La Rioja",46,5658,"14.76","1.75","22.66"
2018,"Mendoza",50,29690,"15.23","1.99","21.56"
2018,"Misiones",54,24730,"20.05","2.41","39.44"
2018,"Neuquén",58,10212,"15.79","2.04","20.41"
2018,"Río Negro",62,10497,"14.41","1.89","18.49"
2018,"Salta",66,24952,"17.97","2.21","34.55"
2018,"San Juan",70,13495,"17.65","2.3","29.44"
2018,"San Luis",74,7016,"14.16","1.82","20.82"
2018,"Santa Cruz",78,5029,"14.47","1.83","18.01"
2018,"Santa Fe",82,50883,"14.62","1.9","25.49"
2018,"Santiago del Estero",86,18654,"19.47","2.39","37.36"
2018,"Tierra del Fuego",94,2670,"16.19","1.99","15.5"
2018,"Tucumán",90,27186,"16.43","2.04","29.65"
2019,"Buenos Aires",6,228670,"13.16","1.77","18.48"
2019,"Catamarca",10,5699,"13.84","1.78","22.11"
2019,"Chaco",22,21023,"17.63","2.13","34.88"
2019,"Chubut",26,7645,"12.56","1.63","14.41"
2019,"Ciudad de Buenos Aires",2,32426,"10.56","1.37","5.65"
2019,"Córdoba",14,50261,"13.5","1.77","19.09"
2019,"Corrientes",18,17982,"16.18",2,"32.27"
2019,"Entre Ríos",30,18760,"13.66","1.81","22.3"
